AdjEM,AdjOE,AdjDE,AdjTempo,Season,TeamID
-1.21718,102.354,103.571,65.123,2011,1145
-18.791,94.5097,113.301,64.5005,2012,1145
4.92884,111.15299999999999,106.22399999999999,64.1136,2013,1145
4.72573,111.78,107.054,65.1949,2014,1145
-0.36477,101.242,101.60700000000001,62.4555,2015,1145
-5.80843,108.10700000000001,113.915,67.4669,2016,1145
-1.6259700000000001,108.35,109.976,69.5641,2017,1145
3.4733099999999997,107.802,104.329,68.6964,2018,1145
-9.87167,101.587,111.458,67.5986,2019,1145
-9.24474,99.09,108.335,68.524,2002,1258
-4.18272,98.5093,102.69200000000001,69.8869,2003,1258
-2.46676,97.0523,99.51899999999999,66.6029,2004,1258
0.853642,98.8999,98.0462,67.7921,2005,1258
2.8344400000000003,100.056,97.2214,70.3242,2006,1258
-5.4944,94.8038,100.29799999999999,67.2731,2007,1258
-22.1003,91.2182,113.318,67.5498,2008,1258
-18.4756,88.8754,107.351,63.4525,2009,1258
0.9600200000000001,107.92,106.96,68.3348,2010,1258
-3.4442800000000005,101.316,104.76100000000001,66.8132,2011,1258
2.53536,102.27799999999999,99.7424,64.3355,2012,1258
-3.5642400000000003,98.23899999999999,101.803,62.8204,2013,1258
-0.6792050000000001,105.331,106.01,68.0555,2014,1258
-7.88895,102.766,110.655,62.0502,2015,1258
-5.2083900000000005,103.314,108.522,67.4954,2016,1258
-0.0202852,103.15700000000001,103.177,67.2156,2017,1258
-5.47849,107.87799999999999,113.35600000000001,66.9001,2018,1258
3.43185,103.697,100.266,62.7708,2019,1258
-9.24635,93.6528,102.899,62.8739,2002,1372
2.66227,105.991,103.329,62.729,2003,1372
1.47013,99.1463,97.6762,63.6961,2004,1372
-10.392000000000001,97.8864,108.27799999999999,59.3318,2005,1372
-2.27389,102.572,104.846,62.9703,2006,1372
-3.8315900000000003,98.0937,101.925,59.9444,2007,1372
8.42399,107.926,99.5019,57.0009,2008,1372
6.73718,97.6543,90.9171,61.6881,2009,1372
1.32797,102.47200000000001,101.14399999999999,58.3066,2010,1372
-4.02629,95.9754,100.00200000000001,59.398999999999994,2011,1372
1.60963,97.3307,95.721,57.8747,2012,1372
10.2743,100.095,89.8205,58.8391,2013,1372
10.7884,111.44,100.65100000000001,61.7091,2014,1372
14.0106,114.494,100.484,65.2365,2015,1372
14.405,111.339,96.9336,67.4268,2016,1372
-5.49212,96.73100000000001,102.223,66.3493,2017,1372
5.56289,104.98299999999999,99.4206,71.1416,2018,1372
-12.7361,95.4345,108.171,68.7379,2019,1372
-9.38333,91.9307,101.314,78.725,2002,1105
-18.0084,90.2282,108.23700000000001,72.3632,2003,1105
-16.2941,94.9177,111.212,69.89,2004,1105
-12.2885,90.3956,102.684,72.9272,2005,1105
-9.7408,94.3436,104.084,72.888,2006,1105
-23.0002,83.7228,106.723,70.3008,2007,1105
-16.7398,89.2689,106.009,67.5386,2008,1105
-20.4043,85.729,106.133,69.4853,2009,1105
-20.2398,86.8857,107.126,69.7819,2010,1105
-16.7695,86.2111,102.98100000000001,70.1295,2011,1105
-21.3437,89.7658,111.109,66.0913,2012,1105
-20.9186,90.5796,111.49799999999999,64.2054,2013,1105
-13.5089,91.6936,105.20299999999999,64.5204,2014,1105
-19.0969,94.5181,113.615,63.1659,2015,1105
-13.3468,99.915,113.262,65.1547,2016,1105
-30.2128,91.4217,121.635,64.2149,2017,1105
-28.5736,86.7317,115.305,65.695,2018,1105
-22.648000000000003,86.6081,109.256,65.5578,2019,1105
-9.4054,100.471,109.876,74.2191,2002,1346
-6.72872,99.2197,105.948,71.0524,2003,1346
-15.4993,97.8116,113.311,70.1502,2004,1346
-14.4268,100.007,114.434,69.9482,2005,1346
-8.55706,98.3034,106.86,69.5426,2006,1346
-9.36105,98.8524,108.213,69.0474,2007,1346
-7.3502600000000005,104.76299999999999,112.113,65.9578,2008,1346
-10.790999999999999,96.8318,107.62299999999999,63.8564,2009,1346
-1.05597,102.833,103.889,67.4193,2010,1346
0.240078,103.95,103.71,67.2616,2011,1346
1.41251,103.50399999999999,102.09200000000001,64.8548,2012,1346
-3.4459800000000005,102.244,105.69,64.5902,2013,1346
1.45538,110.905,109.45,68.4594,2014,1346
-1.4188,102.33200000000001,103.75,66.1126,2015,1346
-11.3875,91.8495,103.23700000000001,68.4958,2016,1346
-11.6956,101.354,113.04899999999999,73.0602,2017,1346
-10.2942,102.156,112.45,66.4787,2018,1346
-5.98115,104.477,110.458,66.7534,2019,1346
-9.40954,102.125,111.535,68.4089,2002,1442
-17.1818,93.6198,110.802,67.0349,2003,1442
-17.1207,95.3241,112.445,67.6581,2004,1442
-4.57833,99.9945,104.573,64.1555,2005,1442
-14.6172,94.8464,109.464,64.6859,2006,1442
-17.0606,92.647,109.708,63.4101,2007,1442
-8.40511,98.4923,106.897,65.5131,2008,1442
-13.2282,97.0051,110.23299999999999,57.827,2009,1442
-10.552999999999999,91.0745,101.62799999999999,60.3716,2010,1442
-20.0398,86.8366,106.876,61.6237,2011,1442
-0.656163,97.2148,97.87100000000001,56.9022,2012,1442
1.12627,96.5268,95.4005,55.8251,2013,1442
-8.67355,93.9449,102.618,61.1333,2014,1442
-17.058,90.8941,107.95200000000001,66.3919,2015,1442
-5.84778,100.956,106.804,67.7137,2016,1442
-11.7475,97.0821,108.83,68.6927,2017,1442
-11.3706,96.6297,108.0,68.0342,2018,1442
-10.9717,97.4303,108.402,67.2475,2019,1442
-9.724,98.5089,108.23299999999999,68.2651,2002,1421
-13.3682,100.943,114.311,67.655,2003,1421
-17.2265,92.9555,110.182,65.4036,2004,1421
-10.132,100.897,111.029,68.7668,2005,1421
-14.1368,96.7952,110.932,67.063,2006,1421
-9.06676,96.6648,105.73200000000001,67.5233,2007,1421
-1.12711,106.836,107.963,63.5909,2008,1421
-8.43363,101.65100000000001,110.085,67.0765,2009,1421
-11.105,96.9853,108.09,70.3812,2010,1421
2.3930000000000002,101.432,99.0391,67.7991,2011,1421
4.96548,109.605,104.64,67.7396,2012,1421
-3.27656,101.304,104.581,67.2323,2013,1421
-6.262919999999999,106.095,112.35799999999999,69.1985,2014,1421
-6.659619999999999,101.639,108.29899999999999,67.5716,2015,1421
4.211930000000001,103.529,99.3166,70.1811,2016,1421
5.75249,107.594,101.84200000000001,68.0312,2017,1421
-2.52093,105.756,108.277,69.09899999999999,2018,1421
-24.1326,92.8607,116.993,61.8383,2019,1421
-10.1974,97.6082,107.806,68.8249,2002,1191
-1.34491,106.105,107.45,67.6024,2003,1191
-4.66681,104.251,108.91799999999999,67.836,2004,1191
0.488151,107.3,106.81200000000001,66.7237,2005,1191
-2.0435,100.4,102.443,67.03,2006,1191
8.67418,112.99799999999999,104.323,63.7954,2007,1191
-5.094069999999999,98.7572,103.851,62.1644,2008,1191
4.23639,102.619,98.383,65.5474,2009,1191
-5.84175,97.0637,102.905,65.0403,2010,1191
-1.6534799999999998,100.15100000000001,101.804,66.6996,2011,1191
6.1874199999999995,109.962,103.774,65.4523,2012,1191
8.55687,105.77600000000001,97.2191,63.4373,2013,1191
-4.0627699999999995,102.749,106.81200000000001,65.7677,2014,1191
3.61585,104.84100000000001,101.225,64.9683,2015,1191
10.1105,107.824,97.7139,68.5669,2016,1191
0.8855729999999999,104.102,103.21600000000001,66.6464,2017,1191
2.65607,99.4854,96.8294,65.653,2018,1191
-5.37426,99.4071,104.781,69.4106,2019,1191
-10.3363,96.4428,106.779,68.7323,2002,1226
-2.23565,99.7639,102.0,70.4516,2003,1226
-9.9301,101.104,111.03399999999999,69.7665,2004,1226
-17.0671,90.4871,107.554,65.8961,2005,1226
-3.2921300000000002,104.573,107.865,70.6203,2006,1226
-0.206697,104.58200000000001,104.788,59.6164,2007,1226
-13.7542,95.88,109.634,59.3942,2008,1226
-2.1305400000000003,102.546,104.677,61.8724,2009,1226
-11.4532,103.6,115.053,62.1493,2010,1226
-12.8179,97.7802,110.598,64.3352,2011,1226
-13.6017,96.9914,110.59299999999999,64.3227,2012,1226
-16.4524,91.6538,108.10600000000001,58.43600000000001,2013,1226
-6.95138,103.971,110.92200000000001,63.2474,2014,1226
-14.0353,96.8754,110.911,63.1562,2015,1226
-9.73852,99.0034,108.742,70.0284,2016,1226
-18.2581,97.7064,115.964,68.8093,2017,1226
-5.46799,103.631,109.09899999999999,68.1327,2018,1226
-16.2865,101.941,118.227,66.7836,2019,1226
-10.6233,95.8219,106.445,67.8538,2002,1354
-8.917539999999999,96.5201,105.43799999999999,71.7419,2003,1354
-5.65376,100.344,105.99799999999999,65.801,2004,1354
-3.10188,98.624,101.726,65.0043,2005,1354
-11.1468,92.1655,103.31200000000001,64.0203,2006,1354
-12.8126,95.54,108.353,64.0056,2007,1354
-16.5413,95.4858,112.027,69.6551,2008,1354
-10.2201,96.1108,106.331,67.9187,2009,1354
-8.77908,96.9825,105.762,67.6517,2010,1354
-19.2139,91.0057,110.22,66.7084,2011,1354
-24.6428,92.0567,116.7,67.8501,2012,1354
-22.2428,91.6433,113.88600000000001,63.2414,2013,1354
-21.2969,91.0564,112.353,64.7945,2014,1354
-18.7451,89.9186,108.664,63.8117,2015,1354
-9.71297,103.199,112.912,67.2697,2016,1354
-19.2286,99.095,118.324,68.2439,2017,1354
-21.7421,97.1576,118.9,70.428,2018,1354
-18.837,97.9782,116.815,66.8609,2019,1354
-11.2286,97.5655,108.794,72.0652,2002,1391
-16.3565,95.5288,111.885,72.0132,2003,1391
-11.6305,95.1976,106.82799999999999,65.4444,2004,1391
-13.0605,96.2285,109.289,66.0856,2005,1391
-11.525,95.55,107.075,62.283,2006,1391
-16.5307,97.0211,113.552,64.5571,2007,1391
-10.5044,93.4198,103.92399999999999,63.8452,2008,1391
-8.1652,95.6574,103.823,66.548,2009,1391
-21.017,89.95700000000001,110.97399999999999,65.5847,2010,1391
-13.1785,95.9156,109.094,65.5834,2011,1391
-7.66644,100.275,107.941,69.7995,2012,1391
-6.78923,100.838,107.62700000000001,66.6286,2013,1391
